playerName,mlbamID,Tm,Lg,Pos
Miller Diaz,553859,NYN,NL,SP
R.A. Dickey,285079,NYN,NL,SP
Jack Egbert,455090,NYN,NL,SP
Jeurys Familia,544727,NYN,NL,SP
Casey Fossum,407154,BAL,AL,SP
Dillon Gee,518716,NYN,NL,SP
Gonzalez Germen,542674,NYN,NL,SP
Erik Goeddel,592340,NYN,NL,SP
Darin Gorski,571719,NYN,NL,SP
Matthew Harvey,518774,NYN,NL,SP
Chris Hilliard,543316,NYN,NL,SP
Bradley Holt,475747,NYN,NL,SP
Collin McHugh,543521,NYN,NL,SP
Pat Misch,435619,NYN,NL,SP
Brett Mitchell,592560,NYN,NL,SP
Brandon Moore,543562,NYN,NL,SP
Akeel Morris,592570,NYN,NL,SP
Scott Moviel,519059,NYN,NL,SP
Jonathon Niese,477003,NYN,NL,SP
Dylan Owen,519099,NYN,NL,SP
Jarrod Parker,444624,NYN,NL,SP
Gregory Peavey,475442,NYN,NL,SP
Mike Pelfrey,460059,NYN,NL,SP
Armando Rodriguez,518169,NYN,NL,SP
Johan Santana,276371,NYN,NL,SP
Chris Schwinden,452737,NYN,NL,SP
Tobi Stoner,502621,NYN,NL,SP
Domingo Tapia,593619,NYN,NL,SP
Juan Urbina,594674,NYN,NL,SP
Brian Valenzuela,543872,NYN,NL,SP
Carlos Vazquez,570664,NYN,NL,SP
Edioglis Villasmil,553864,NYN,NL,SP
Jeffrey Walters,502368,NYN,NL,SP
Zach Wheeler,554430,NYN,NL,SP
Taylor Whitenton,519418,NYN,NL,SP
Gabriel Ynoa,593679,NYN,NL,SP
Brett Anderson,474463,OAK,AL,SP
Andres Avila,584176,OAK,AL,SP
Travis Banwart,518432,OAK,AL,SP
Josh Bowman,518485,OAK,AL,SP
Dallas Braden,460284,OAK,AL,SP
Jacob Brown,594769,OAK,AL,SP
Anthony Capra,488761,OAK,AL,SP
Gary Daley,501996,OAK,AL,SP
Lenny DiNardo,430837,OAK,AL,SP
Pedro Figueroa,471896,OAK,AL,SP
Seth Frankoff,571676,OAK,AL,SP
Robert Gilliam,571707,OAK,AL,SP
Graham Godfrey,453232,OAK,AL,SP
Gio Gonzalez,461829,WAS,NL,SP
A.J. Griffin,456167,OAK,AL,SP
Blake Hassebrock,592381,OAK,AL,SP
Shawn Haviland,543286,OAK,AL,SP
Carlos Hernandez,488957,OAK,AL,SP
Ethan Hollingsworth,543327,OAK,AL,SP
Jonathan Joseph,503931,OAK,AL,SP
Alexis Juma,518208,OAK,AL,SP
Ian Krol,571871,OAK,AL,SP
Aaron Larsen,595292,OAK,AL,SP
Arnold Leon,504186,OAK,AL,SP
Nate Long,571898,OAK,AL,SP
Jose Macias,594908,OAK,AL,SP
Yadel Marti,493335,OAK,AL,SP
Brandon McCarthy,435221,OAK,AL,SP
J.C. Menna,519020,OAK,AL,SP
Guillermo Moscoso,446861,COL,NL,SP
Josh Outman,489189,COL,NL,SP
Argenis Paez,542179,OAK,AL,SP
Jarrod Parker,519105,OAK,AL,SP
Tyson Ross,475115,OAK,AL,SP
James Simmons,519285,OAK,AL,SP
Murphy Smith,573166,OAK,AL,SP
Dan Straily,573185,OAK,AL,SP
Matthew Thomson,519354,OAK,AL,SP
Polin Trinidad,444524,OAK,AL,SP
Tyler Vail,592821,OAK,AL,SP
Fabian Williamson,502371,OAK,AL,SP
Leonel Bastidas,541590,PHI,NL,SP
Jesse Biddle,592145,PHI,NL,SP
Joe Blanton,430599,PHI,NL,SP
Lisalberto Bonilla,570810,PHI,NL,SP
David Buchanan,571527,PHI,NL,SP
Nate Bump,425546,PHI,NL,SP
David Bush,433657,PHI,NL,SP
Garett Claypool,572777,PHI,NL,SP
Tyler Cloyd,543031,PHI,NL,SP
Brody Colvin,571573,PHI,NL,SP
Ryan Edell,460146,PHI,NL,SP
Ryan Feierabend,456387,PHI,NL,SP
Percival Garner,592330,PHI,NL,SP
Roy Halladay,136880,PHI,NL,SP
Cole Hamels,430935,PHI,NL,SP
Mario Hollands,571786,PHI,NL,SP
Austin Hyatt,444941,PHI,NL,SP
Steven Inch,571803,PHI,NL,SP
Kyle Kendrick,452718,PHI,NL,SP
Colin Kleven,571857,PHI,NL,SP
Cliff Lee,424324,PHI,NL,SP
Ervis Manzanillo,553900,PHI,NL,SP
Lino Martinez,578568,PHI,NL,SP
